Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,25
2.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,25
3.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,46
4.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,46
5.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,67
6.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,67
7.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,88
8.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,88
9.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,109
10.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,109
11.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,131
12.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,131
13.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,152
14.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,152
15.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,173
16.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,180
17.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,200
18.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,200
19.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,220
20.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,220
21.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,240
22.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,240
23.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,259
24.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,259
25.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,278
26.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,285
27.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,304
